# id: ffr_5k_03
# name: Faster Road Racing: 5K Schedule 3
# description: "5K Schedule 3: 60 to 70 Miles (94-111 km) per Week" from "Faster Road Racing: 5K to Half Marathon" by Pete D. Pfitzinger and Philip Latter. "This schedule is for runners who have been training 55 to 65 miles per week. If you have been running fewer than 55 miles per week, you should follow the base-training schedule in chapter 8 for building up to 60 miles per week before attempting this schedule, which starts at 60 miles per week and gradually builds up to 70 miles with three weeks to go before your goal race. The training then tapers so you are fit and refreshed for race day."
# units: mi
# source: https://www.amazon.com/Faster-Road-Racing-Half-Marathon/dp/1450470459
# type: 5K
# updated: 20201026
# Week 1
"Recovery\n{4:6}","",4
"General aerobic\n{9:14}","",9
"Lactate threshold\n{9:14}\n10 min LT interval (jog 3 min recovery)\n8 min LT interval (jog 3 min recovery)\n8 min LT interval","",9
"Endurance\n{10:16}","",10
"2 recovery runs ({8:12})","{4:6}\n{4:6}",8
"General aerobic + speed\n{9:14}\n6 × 12 sec uphill followed by 8 × 100 m strides","",9
"Endurance\n{11:18}","",11
# Week 2
"Recovery\n{4:6}","",4
"General aerobic\n{9:14}","",9
"VO₂max\n{10:16}\n7 × 3 min uphill @ 3K-5K race effort\n(jog downhill recovery)","",10
"Endurance\n{10:16}","",10
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"General aerobic + speed\n{9:14}\n6 × 12 sec uphill followed by 8 × 100 m strides","",9
"Endurance\n{11:18}","",11
# Week 3
"Recovery\n{6:10}","",6
"General aerobic\n{9:14}","",9
"Lactate threshold\n{10:16}\n3 × 10 min LT intervals\n(jog 3 min recovery)","",10
"Endurance\n{10:16}","",10
"2 recovery runs ({10:16})","{6:10}\n{4:6}",10
"Speed\n{8:13}\n2 sets of 5 × 300 m @ 800 m to mile race pace\n(jog 300 m recovery and 4 min between sets)","",8
"Endurance\n{11:18}","",11
# Week 4
"Recovery\n{6:10}","",6
"General aerobic\n{8:13}","",8
"General aerobic\n{8:13}","",8
"Endurance\n{9:14}","",9
"2 recovery runs ({10:16})","{6:10}\n{4:6}",6
"Speed\n{8:13}\n3 sets of 4 × 200 m @ 800 m to mile race pace\n(jog 200 m recovery and 4 min between sets)","",8
"Endurance\n{10:16}","",10
# Week 5
"Recovery\n{6:10}","",6
"General aerobic\n{9:14}","",9
"VO₂max\n{10:16}\n6 × 1,000 m@ 3K-5K race pace\n(jog 50-90% interval time recovery)","",10
"Endurance\n{10:16}","",10
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"General aerobic + speed\n{9:14}\n6 × 12 sec uphill followed by 8 × 100 m strides","",9
"Endurance\n{12:19}","",12
# Week 6
"2 recovery runs ({8:12})","{4:6}\n{4:6}",8
"General aerobic\n{8:13}","",8
"Lactate threshold\n{10:16}\n22 min tempo run","",10
"Endurance\n{10:16}","",10
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"VO₂max\n{9:14}\n9 × 600 m @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",9
"Endurance\n{12:19}","",12
# Week 7
"2 recovery runs ({8:12})","{4:6}\n{4:6}",8
"General aerobic\n{9:14}","",9
"VO₂max\n{10:16}\n2 × 1,200 m\n2 × 1,000 m\n2 × 800 m\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",10
"Endurance\n{11:18}","",11
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"General aerobic + speed\n{9:14}\n2 sets of 6 × 100 m strides\n(jog 3 min between sets)","",9
"Endurance\n{12:19}","",12
# Week 8
"2 recovery runs ({10:16})","{5:8}\n{5:8}",10
"General aerobic + speed\n{10:16}\n2 sets of 5 × 150 m strides\n(jog 250 m between intervals and 4 min between sets)","",10
"General aerobic\n{9:14}","",9
"General aerobic\n{7:11}","",7
"Recovery\n{5:8}","",5
"5K tune-up race\n{9:14}","",9
"Endurance\n{10:16}","",10
# Week 9
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"General aerobic\n{9:14}","",9
"VO₂max\n{10:16}\n2 sets of (1,200 m, 1,000 m, 800 m)\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",10
"Endurance\n{11:18}","",11
"2 recovery runs ({9:14})","{5:8}\n{4:6}",9
"General aerobic + speed\n{9:14}\n2 sets of 6 × 100 m strides\n(jog 3 min between sets)","",9
"Endurance\n{13:21}","",13
# Week 10
"2 recovery runs ({10:16})","{5:8}\n{5:8}",10
"General aerobic + speed\n{10:16}\n2 sets of 5 × 150 m strides\n(jog 250 m recovery and 4 min between sets)","",10
"General aerobic\n{9:14}","",9
"General aerobic\n{7:11}","",7
"Recovery\n{5:8}","",5
"5K tune-up race or 3K time trial\n{9:14}","",9
"Endurance\n{10:16}","",10
# Week 11
"Recovery\n{5:8}","",5
"General aerobic\n{8:13}","",8
"Recovery\n{6:10}","",6
"VO₂max\n{10:16}\n5 × 1,000 m @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",10
"Recovery\n{4:6}","",4
"General aerobic + speed\n{8:13}\n8 ×100 m strides","",8
"General aerobic\n{10:16}","",10
# Week 12
"Race pace + speed\n{8:13}\n4 × 100 m strides\n800 m @ 5K race pace","",8
"General aerobic\n{7:11}","",7
"Recovery\n{5:8}","",5
"Rest","",0
"Recovery\n{4:6}\n4 × 100 m strides","",4
"5K goal race\n{9:14}","",9
"Recovery\n{7:11}","",7
# Week 13
"Rest or cross-training","",0
"Recovery\n{5:8}","",5
"Recovery\n{6:10}","",6
"Recovery\n{7:11}","",7
"General aerobic\n{7:11}","",7
"General aerobic + speed\n{9:14}\n8 × 100 m strides","",9
"General aerobic\n{10:16}","",10
