# id: ffr_8k10k_02
# name: Faster Road Racing: 8K-10K Schedule 2
# description: "8K-10K Schedule 2: 30 to 42 Miles (48-67 km) per Week" from "Faster Road Racing: 5K to Half Marathon" by Pete D. Pfitzinger and Philip Latter. "This schedule is for runners who have been training 40 to 50 miles per week. If you have been running fewer than 40 miles per week, follow the base-training schedule in chapter 8 for building up to 45 miles per week before attempting this schedule. This schedule starts at 45 miles per week and gradually builds up to 57 miles with three weeks to go before your goal race. The training then tapers so you are fit and refreshed for race day."
# units: mi
# source: https://www.amazon.com/Faster-Road-Racing-Half-Marathon/dp/1450470459
# type: 10K
# updated: 20201026
# Week 1
"Rest or cross-training","",0
"General aerobic\n{8:13}","",8
"Lactate threshold\n{8:13}\n10 min LT interval (jog 3 min recovery)\n8 min LT interval (jog 3 min recovery)\n8 min LT interval","",8
"Endurance\n{9:14}","",9
"Recovery\n{3:5}","",3
"General aerobic + speed\n{7:11}\n6 × 12 sec uphill followed by\n8 ×100 m strides","",7
"Endurance\n{10:16}","",10
# Week 2
"Rest or cross-training","",0
"General aerobic\n{8:13}","",8
"Lactate threshold\n{9:14}\n12 min LT interval (jog 4 min recovery)\n10 min LT interval (jog 4 min recovery)\n8 min LT interval","",9
"Endurance\n{9:14}","",9
"Recovery\n{3:5}","",3
"Speed\n{7:11}\n2 sets of 5 × 200 m @ 800 m to mile race pace\n(jog 200 m recov-ery and 4 min between sets)","",7
"Endurance\n{11:18}","",11
# Week 3
"Rest or cross-training","",0
"General aerobic\n{8:13}","",8
"VO₂max\n{9:14}\n7 × 3 min uphill @ 3K-5K race effort\n(jog downhill recovery)","",9
"Endurance\n{9:14}","",9
"Recovery\n{4:6}","",4
"General aerobic + speed\n{8:13}\n6 × 12 sec uphill followed by\n8 × 100 m strides","",8
"Endurance\n{11:18}","",11
# Week 4
"Rest or cross-training","",0
"General aerobic\n{7:11}","",7
"General aerobic\n{9:14}","",9
"Speed\n{8:13}\n2 sets of 5 × 200 m @ 800 m to mile race pace\n(jog 200 m recovery and 4 min between sets)","",8
"Recovery\n{3:5}","",3
"General aerobic\n{8:13}","",8
"Endurance\n{10:16}","",10
# Week 5
"Rest or cross-training","",0
"General aerobic\n{9:14}","",9
"VO₂max\n{9:14}\n6 × 1,000 m @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",9
"Endurance\n{10:16}","",10
"Recovery\n{4:6}","",4
"General aerobic + speed\n{8:13}\n6 × 12 sec uphill followed by\n8 × 100 m strides","",8
"Endurance\n{12:19}","",12
# Week 6
"Rest or cross-training","",0
"General aerobic\n{9:14}","",9
"Lactate threshold\n{10:16}\n14 min LT interval (jog 4 min recovery)\n10 min LT interval (jog 4 min recovery)\n10 min LT interval","",10
"Endurance\n{10:16}","",10
"Recovery\n{5:8}","",5
"Speed\n{8:13}\n3 sets of 4 × 200 m @ 800 m to mile race pace\n(jog 200 m recov-ery and 4 min between sets)","",8
"Endurance\n{12:19}","",12
# Week 7
"Rest or cross-training","",0
"General aerobic\n{9:14}","",9
"Race pace {10:16}\n2 sets of (1,600 m, 1,200 m, 1,000 m)\nAll intervals @ 8K-10K race pace\n(jog 50% interval time recovery)","",10
"Endurance\n{11:18}","",11
"Recovery\n{5:8}","",5
"General aerobic + speed\n{9:14}\n2 sets of 6 × 100 m strides\n(jog 3 min between sets)","",9
"Endurance\n{12:19}","",12
# Week 8
"Rest or cross-training","",0
"General aerobic + speed\n{9:14}\n2 sets of 5 × 150 m strides\n(jog 250 m recovery and 4 min between sets)","",9
"General aerobic\n{8:13}","",8
"Recovery\n{7:11}","",7
"Recovery\n{4:6}","",4
"5K tune-up race\n{9:14}","",9
"Endurance\n{10:16}","",10
# Week 9
"Rest or cross-training","",0
"General aerobic\n{9:14}","",9
"VO₂max\n{10:16}\n3 × 1,200 m\n3 × 800 m\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",10
"Endurance\n{11:18}","",11
"Recovery\n{5:8}","",5
"General aerobic + speed\n{9:14}\n2 sets of 6 × 100 m strides\n(jog 3 min between sets)","",9
"Endurance\n{13:21}","",13
# Week 10
"Rest or cross-training","",0
"General aerobic + speed\n{9:14}\n2 sets of 5 × 150 m strides\n(jog 250 m recovery and 4 min between sets)","",9
"General aerobic\n{8:13}","",8
"Recovery\n{7:11}","",7
"Recovery\n{4:6}","",4
"5K tune-up race\n{9:14}","",9
"Endurance\n{10:16}","",10
# Week 11
"Rest or cross-training","",0
"General aerobic\n{7:11}","",7
"Recovery\n{5:8}","",5
"VO₂max\n{9:14}\n4 × 800 m3 × 600 m\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)","",9
"Recovery\n{4:6}","",4
"General aerobic + speed\n{6:10}\n8 × 100 m strides","",6
"General aerobic\n{9:14}","",9
# Week 12
"Race pace + speed\n{7:11}\n4 × 100 m strides\n1,200 m @ 8K-10K race pace","",7
"General aerobic\n{6:10}","",6
"Recovery\n{5:8}","",5
"Rest","",0
"Recovery\n{4:6}\n4 × 100 m strides","",4
"8K-10K goal race\n{11:18}","",11
"Recovery\n{5:8}","",5
# Week 13
"Rest or cross-training","",0
"Recovery\n{5:8}","",5
"Recovery\n{6:10}","",6
"Recovery\n{6:10}","",6
"Recovery\n{4:6}","",4
"General aerobic + speed\n{8:13}","8 x 100m strides",8
"General aerobic\n{10:16}","",10
