# id: hansons_adv_half
# name: Hansons Advanced
# description: Summary of the Hansons Marathon Method: "Hansons Marathon Method tosses out mega-long runs and high-mileage weekends—two old-fashioned running traditions that often injure and discourage runners. Runners using the Hansons method will gradually build up to the moderate-high mileage required for marathon success, spreading those miles more sensibly throughout the week. Running easy days mixed with precisely paced speed, strength, and tempo workouts, runners will steel their bodies and minds to run the hardest final miles of the marathon—and finish strong."
# units: mi
# source: https://hansons-running.com/pages/training-plans
# type: Half Marathon
# updated: 20201026
# Week 1
"Rest or Cross-Train","",0
"Rest or Cross-Train","",0
"Rest or Cross-Train","",0
"{4} Easy","",4
"{3} Easy","",3
"{4} Easy","",4
"{6} Easy","",6
# Week 2
"{4} Easy","",4
"{1.5} Warm Up\n12 x 400m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({9})","",9
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"{4} Easy","",4
"{4} Easy","",4
"{6} Easy","",6
# Week 3
"{4} Easy","",4
"{1.5} Warm Up\n8 x 600m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({7})","",7
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"{5} Easy","",5
"{5} Easy","",5
"{7} Easy","",7
# Week 4
"{5} Easy","",5
"{1.5} Warm Up\n6 x 800m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({7})","",7
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"{4} Easy 5","",4
"{6} Easy 5","",6
"{8} Easy 5","",8
# Week 5
"{4} Easy","",4
"{1.5} Warm Up\n5 x 1k @ 5k-10k pace w. 600m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"{5} Easy","",5
"{6} Easy","",6
"{10} Long Run","",10
# Week 6
"{5} Easy","",5
"{1.5} Warm Up\n4 x 1200m @ 5k-10k pace w. 600m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"{6} Easy 6","",6
"{6} Easy 6","",6
"{12} Long Run","",12
# Week 7
"{5} Easy","",5
"{1.5} Warm Up\n3 x {1} @ 5k-10k pace w. 800m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"{6} Easy","",6
"{5} Easy","",5
"{10} Long Run","",10
# Week 8
"{6} Easy","",6
"{1.5} Warm Up\n5 x 1k @ 5k-10k pace w. 600m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"{6} Easy","",6
"{6} Easy","",6
"{12} Long Run","",12
# Week 9
"{5} Easy","",5
"{1.5} Warm Up\n6 x 800m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({7})","",7
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"{6} Easy","",6
"{5} Easy","",5
"{10} Long Run","",10
# Week 10
"{7} Easy","",7
"{1.5} Warm Up\n12 x 400m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({9})","",9
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"{5} Easy","",5
"{6} Easy","",6
"{12} Long Run","",12
# Week 11
"{5} Easy","",5
"{1.5} Warm Up\n6 x {1} @ 10k pace w. 400m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{6} @ HMP\n{1.5} Cool Down\n({9})","",9
"{6} Easy","",6
"{5} Easy","",5
"{10} Long Run","",10
# Week 12
"{5} Easy","",5
"{1.5} Warm Up\n4 x {1.5} @ 10k pace w. 800m jog rest\n{1.5} Cool Down","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{6} @ HMP\n{1.5} Cool Down","",9
"{5} Easy","",5
"{6} Easy","",6
"{14} Long Run","",14
# Week 13
"{7} Easy","",7
"{1.5} Warm Up\n3 x {2} @ 10k pace w. 800m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{6} @ HMP\n{1.5} Cool Down\n({9})","",9
"{6} Easy","",6
"{5} Easy","",5
"{10} Long Run","",10
# Week 14
"{5} Easy","",5
"{1.5} Warm Up\n2 x {3} @ 10k pace w. {1} jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{7} @ HMP\n{1.5} Cool Down\n({10})","",10
