# id: hansons_adv_mara
# name: Hansons Advanced
# description: Summary of the Hansons Marathon Method: "Hansons Marathon Method tosses out mega-long runs and high-mileage weekends—two old-fashioned running traditions that often injure and discourage runners. Runners using the Hansons method will gradually build up to the moderate-high mileage required for marathon success, spreading those miles more sensibly throughout the week. Running easy days mixed with precisely paced speed, strength, and tempo workouts, runners will steel their bodies and minds to run the hardest final miles of the marathon—and finish strong."
# units: mi
# source: https://hansons-running.com/pages/training-plans
# type: Marathon
# updated: 20201025
# Week 1
"{6} Easy",,6
"{6} Easy",,6
"Rest or Cross-Train",,0
"{6} Easy",,6
"{6} Easy",,6
"{6} Easy",,6
"{8} Easy",,8
# Week 2
"{6} Easy",,6
"{1.5} Warm Up\n12 x 400m @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({9})",,9
"Rest or Cross-Train",,0
"{6} Easy",,6
"{6} Easy",,6
"{6} Easy",,6
"{8} Easy",,8
# Week 3
"{6} Easy",,6
"{1.5} Warm Up\n8 x 600m @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{6} Tempo @ Goal MP\n{1} Cool Down\n({8})",,8
"{7} Easy",,7
"{6} Easy",,6
"{10} Long Run",,10
# Week 4
"{6} Easy",,6
"{1.5} Warm Up\n6 x 800m @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{6} Tempo @ Goal MP\n{1} Cool Down\n({8})",,8
"{6} Easy",,6
"{8} Easy",,8
"{8} Easy",,8
# Week 5
"{6} Easy",,6
"{1.5} Warm Up\n5 x 1km @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{6} Tempo @ Goal MP\n{1} Cool Down\n({8})",,8
"{7} Easy",,7
"{6} Easy",,6
"{12} Long Run",,12
# Week 6
"{6} Easy",,6
"{1.5} Warm Up\n4 x 1200m @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{7} Tempo @ Goal MP\n{1} Cool Down\n({9})",,9
"{6} Easy",,6
"{8} Easy",,8
"{10} Easy",,10
# Week 7
"{6} Easy",,6
"{1.5} Warm Up\n3 x {1} @ 5k-10k Pace w. 800m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{7} Tempo @ Goal MP\n{1} Cool Down\n({9})",,9
"{7} Easy",,7
"{8} Easy",,8
"{14} Long Run",,14
# Week 8
"{6} Easy",,6
"{1.5} Warm Up\n4 x 1200m @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
"{1} Warm Up\n{7} Tempo @ Goal MP\n{1} Cool Down\n({9})",,9
"{6} Easy",,6
"{10} Easy",,10
"{10} Long Run",,10
# Week 9
"{8} Easy",,8
"{1.5} Warm Up\n5 x 1km @ 5k-10k Pace w. 400m jog rest\n{1.5} Cool Down\n({8})",,8
"Rest or Cross-Train",,0
