# id: hansons_beg_half
# name: Hansons Beginner
# description: Summary of the Hansons Marathon Method: "Hansons Marathon Method tosses out mega-long runs and high-mileage weekends—two old-fashioned running traditions that often injure and discourage runners. Runners using the Hansons method will gradually build up to the moderate-high mileage required for marathon success, spreading those miles more sensibly throughout the week. Running easy days mixed with precisely paced speed, strength, and tempo workouts, runners will steel their bodies and minds to run the hardest final miles of the marathon—and finish strong."
# units: mi
# source: https://hansons-running.com/pages/training-plans
# type: Half Marathon
# updated: 20201026
# Week 1
"Rest or Cross-Train","",0
"Rest or Cross-Train","",0
"Rest or Cross-Train","",0
"Easy {3}","",3
"Rest or Cross-Train","",0
"Easy {3}","",3
"Easy {4}","",4
# Week 2
"Rest or Cross-Train","",0
"Easy {2}","",2
"Rest or Cross-Train","",0
"Easy {3}","",3
"Easy {3}","",3
"Easy {3}","",3
"Easy {4}","",4
# Week 3
"Rest or Cross-Train","",0
"Easy {4}","",4
"Rest or Cross-Train","",0
"Easy {4}","",4
"Easy {4}","",4
"Easy {4}","",4
"Easy {5}","",5
# Week 4
"Rest or Cross-Train","",0
"Easy {5}","",5
"Rest or Cross-Train","",0
"Easy {3}","",3
"Easy {3}","",3
"Easy {5}","",5
"Easy {6}","",6
# Week 5
"Rest or Cross-Train","",0
"Easy {5}","",5
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"Easy {5}","",5
"Easy {4}","",4
"{8} Long Run","",8
# Week 6
"Easy {4}","",4
"{1.5} Warm Up\n12 x 400m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({9})","",9
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"Easy {4}","",4
"Easy {5}","",5
"{9} Long Run","",9
# Week 7
"Easy {4}","",4
"{1.5} Warm Up\n8 x 600m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({7})","",7
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{3} @ HMP\n{1.5} Cool Down\n({6})","",6
"Easy {4}","",4
"Easy {6}","",6
"{10} Long Run","",10
# Week 8
"Easy {6}","",6
"{1.5} Warm Up\n6 x 800m @ 5k-10k pace w. 400m jog rest\n{1.5} Cool Down\n({7})","",7
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"Easy {5}","",5
"Easy {6}","",6
"{10} Long Run","",10
# Week 9
"Easy {5}","",5
"{1.5} Warm Up\n5 x 1k @ 5k-10k pace w. 600m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"Easy {6}","",6
"Easy {5}","",5
"{10} Long Run","",10
# Week 10
"Easy {6}","",6
"{1.5} Warm Up\n4 x 1200m @ 5k-10k pace w. 600m jog rest\n{1.5} Cool Down\n({8})","",8
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{4} @ HMP\n{1.5} Cool Down\n({7})","",7
"Easy {5}","",5
"Easy {5}","",5
"{12} Long Run","",12
# Week 11
"Easy {5}","",5
"{1.5} Warm Up\n6 x {1} @ HMP -10s w. 400m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"Easy {6}","",6
"Easy {5}","",5
"{10} Long Run","",10
# Week 12
"Easy {5}","",5
"{1.5} Warm Up\n4 x {1.5} @ HMP -10s w. 800m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"Easy {5}","",5
"Easy {6}","",6
"{12} Long Run","",12
# Week 13
"Easy {6}","",6
"{1.5} Warm Up\n3 x {2} @ HMP -10s w. 800m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{5} @ HMP\n{1.5} Cool Down\n({8})","",8
"Easy {6}","",6
"Easy {5}","",5
"{10} Long Run","",10
# Week 14
"Easy {5}","",5
"{1.5} Warm Up\n2 x {3} @ HMP -10s w. {1} jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{6} @ HMP\n{1.5} Cool Down\n({9})","",9
"Easy {5}","",5
"Easy {6}","",6
"{12} Long Run","",12
# Week 15
"Easy {7}","",7
"{1.5} Warm Up\n3 x {2} @ HMP -10s w. 800m jog rest\n{1.5} Cool Down\n({10})","",10
"Rest or Cross-Train","",0
"{1.5} Warm Up\n{6} @ HMP\n{1.5} Cool Down\n({9})","",9
"Easy {6}","",6
"Easy {5}","",5
"{10} Long Run","",10
# Week 16
"Easy {5}","",5
