# id: higdon_mara3
# name: Hal Higdon: Marathon 3
# description: Hal Higdon: Marathon 3: "The Marathon 3 program fits conveniently between Novice 2 and Intermediate 1, but its main feature (and appeal) is that it offers only three days of running and an extra dose of cross training for those of us who need a bit more rest between our running workouts. Marathon 3, thus, is for experienced runners, those who have been running a year or two or more and who have raced at distances between 5-K and the marathon. It is not an easy program. Expect to run more miles on those three days. You will also run three long runs of 20 miles in a program lasting 24 weeks." (more details at the link below)
# units: mi
# source: https://www.halhigdon.com/training-programs/marathon-training/marathon-3/
# type: Marathon
# updated: 20221211
# Week 1
"Rest","",0
"{3:4.8} run","",3
"Bike: 30 min","",0
"{3:4.8} pace","",3
"Rest","",0
"{6:9.7} run","",6
"Cross 60 min","",0
# Week 2
"Rest","","0"
"{4:6.4} run","","4"
"Bike: 30 min","","0"
"30 min tempo","","0"
"Rest","","0"
"{7:11.3} run","","7"
"Cross 60 min","","0"
# Week 3
"Rest","","0"
"{3:4.8} run","","3"
"Bike: 30 min","","0"
"{3:4.8} run","","3"
"Rest","","0"
"{5:8.1} run","","5"
"Cross 60 min","","0"
# Week 4
"Rest","","0"
"{5:8.1} run","","5"
"Bike: 35 min","","0"
"{3:4.8} pace","","3"
"Rest","","0"
"{9:14.5} run","","9"
"Cross 65 min","","0"
# Week 5
"Rest","","0"
"{5:8.1} run","","5"
"Bike: 35 min","","0"
"35 min tempo","","0"
"Rest","","0"
"{10:16.1} run","","10"
"Cross 65 min","","0"
# Week 6
"Rest","","0"
"{4:6.4} run","","4"
"Bike: 35 min","",""
"{4:6.4} run","","4"
"Rest","","0"
"{8:12.9} run","","8"
"Cross 65 min","",""
# Week 7
"Rest","","0"
"{6:9.7} run","","6"
"Bike: 40 min","",""
"{4:6.4} pace","","4"
"Rest","","0"
"{12:19.3} run","","12"
"Cross 70 min","",""
# Week 8
"Rest","","0"
"{7:11.3} run","","7"
"Bike: 40 min","",""
"40 min tempo","",""
"Rest","","0"
"{13:20.9} run","","13"
"Cross 70 min","",""
# Week 9
"Rest","","0"
"{5:8.1} run","","5"
"Bike: 40 min","",""
"{5:8.1} run","","5"
"Rest","","0"
"Rest","","0"
"5-K Race","",""
# Week 10
"Rest","","0"
"{7:11.3} run","","7"
"Bike: 45 min","",""
"{4:6.4} pace","","4"
"Rest","","0"
"{15:24.1} run","","15"
"Cross 75 min","",""
# Week 11
"Rest","","0"
"{8:12.9} run","","8"
"Bike: 45 min","",""
"45 min tempo","",""
"Rest","","0"
"{16:25.8} run","","16"
"Cross 75 min","",""
# Week 12
"Rest","","0"
"{6:9.7} run","","6"
"Bike: 45 min","",""
"{6:9.7} run","",""
"Rest","","0"
"Rest","","0"
"10-K Race","",""
# Week 13
"Rest","","0"
"{8:12.9} run","","8"
"Bike: 50 min","",""
"{5:8.1} pace","","5"
"Rest","","0"
"{17:27.4} run","","17"
"Cross 80 min","",""
# Week 14
"Rest","","0"
"{9:14.5} run","","9"
"Bike: 50 min","",""
"50 min tempo","",""
"Rest","","0"
"{18:29} run","","18"
"Cross 80 min","",""
# Week 15
"Rest","","0"
"{6:9.7} run","","6"
"Bike: 50 min","",""
"{6:9.7} run","","6"
"Rest","","0"
"{13:20.9} run","","13"
"Cross 80 min","",""
# Week 16
"Rest","","0"
"{9:14.5} run","","9"
"Bike: 55 min","",""
"{6:9.7} pace","","6"
"Rest","","0"
"Rest","","0"
"Half Marathon","",""
# Week 17
"Rest","","0"
"{10:16.1} run","","10"
"Bike: 55 min","",""
"55 min tempo","",""
"Rest","","0"
"{20:32.1} run","","20"
"Cross 85 min","",""
# Week 18
"Rest","","0"
"{7:11.3} run","","7"
"Bike: 55 min","",""
"{7:11.3} run","","7"
"Rest","","0"
"{14:22.5} run","","14"
"Cross 85 min","",""
# Week 19
"Rest","","0"
"{10:16.1} run","","10"
"Bike: 60 min","",""
"{7:11.3} pace","","7"
"Rest","","0"
"{20:32.1} run","","20"
"Cross 85 min","",""
# Week 20
"Rest","","0"
"{8:12.9} run","","8"
"Bike: 60 min","",""
"{8:12.9} run","","8"
"Rest","","0"
"Rest","","0"
"10-K Race","",""
# Week 21
"Rest","","0"
"{10:16.1} run","","10"
"Bike: 60 min","",""
"60 min tempo","",""
"Rest","","0"
"{20:32.1} run","","20"
"Cross 90 min","",""
# Week 22
"Rest","","0"
"{6:9.7} run","","6"
"Bike: 50 min","",""
"{6:9.7} run","","6"
"Rest","","0"
"{12:19.3} run","","12"
"Cross 75 min","",""
# Week 23
"Rest","","0"
"{4:6.4} run","","4"
"Bike: 40 min","",""
"{4:6.4} run","","4"
"Rest","","0"
"{8:12.9} run","","8"
"Cross 60 min","",""
# Week 24
"Rest","","0"
"{5:8.1} run","","5"
"Bike: 30 min","",""
"Rest","","0"
"Rest","","0"
"1-{2:3.2} run","","2"
"Marathon","",""
